Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
443,Jalen Slawson,SF,24,SAC,5,0,3.8,0.4,0.6,0.667,0,0.2,0,0.4,0.4,1,0.667,0,0,0,0,0.8,0.8,0.4,0,0.2,0.4,0.6,0.8
444,Javonte Smart,PG,24,PHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,Marcus Smart,PG,29,MEM,20,20,30.3,5.1,11.9,0.43,2.1,6.7,0.313,3,5.2,0.583,0.519,2.2,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5
446,Dennis Smith Jr.,PG,26,BRK,36,1,20.2,3,6.8,0.444,0.5,1.9,0.284,2.5,4.9,0.506,0.484,0.9,1.1,0.78,1.1,2.4,3.5,4,1.3,0.3,1.2,2.4,7.4
447,Dru Smith,SG,26,MIA,9,0,14.6,1.7,3.7,0.455,0.8,1.9,0.412,0.9,1.8,0.5,0.561,0.2,0.2,1,0.7,0.9,1.6,1.6,1,0.3,0.6,1.3,4.3
448,Ish Smith,PG,35,CHO,43,5,17.2,1.5,3.7,0.418,0.1,0.2,0.5,1.4,3.5,0.413,0.43,0.1,0.1,0.75,0.3,1.5,1.8,3.4,0.4,0.1,1.1,1.1,3.2
449,Jabari Smith Jr.,PF,20,HOU,47,47,31.4,4.9,10.6,0.465,1.7,4.5,0.37,3.3,6.1,0.535,0.543,1.7,2.1,0.814,2,6.4,8.3,1.4,0.7,0.8,1.3,2.7,13.2
450,Jalen Smith,C,23,IND,38,13,18.1,4.2,6.7,0.632,1.2,2.4,0.484,3.1,4.3,0.716,0.719,1.2,1.7,0.703,1.6,4,5.6,1,0.3,0.7,0.8,2.3,10.8
451,Nick Smith Jr.,SG,19,CHO,36,0,15.9,2.4,6,0.406,1.4,3.1,0.451,1,2.9,0.356,0.523,0.3,0.4,0.846,0.4,1.1,1.5,1.3,0.2,0.2,0.9,1.3,6.6
452,Terquavion Smith,PG,21,PHI,9,0,6.9,1.8,4.1,0.432,1.3,3.1,0.429,0.4,1,0.444,0.595,0.2,0.3,0.667,0,0.2,0.2,1.1,0.8,0,0.4,0.3,5.1
453,Jeremy Sochan,PF,20,SAS,53,52,29.5,4.4,10.1,0.439,1,2.8,0.338,3.5,7.2,0.479,0.487,1.5,1.9,0.775,1.8,4.3,6.1,3.7,0.7,0.4,1.9,2.3,11.3
454,Jaden Springer,SG,21,PHI,32,1,11.8,1.4,3.7,0.39,0.3,1.2,0.216,1.2,2.5,0.469,0.424,0.9,1.1,0.824,0.8,1,1.8,1.1,0.8,0.3,0.8,1.5,4
455,Lamar Stevens,PF,26,BOS,19,1,6.4,1.1,2.4,0.467,0.2,0.4,0.375,0.9,1.9,0.486,0.5,0.4,0.6,0.727,0.6,1,1.6,0.4,0.3,0.3,0.5,0.7,2.8
456,Isaiah Stewart,PF,22,DET,35,34,30.6,4.1,8.6,0.47,1.4,3.7,0.374,2.7,4.9,0.544,0.551,1.5,2,0.746,1.8,5,6.8,1.7,0.4,0.8,1.5,2.5,11
457,Julian Strawther,SF,21,DEN,34,0,14.1,2.2,5.7,0.383,1.1,3.5,0.317,1.1,2.1,0.493,0.482,0.5,0.7,0.696,0.1,1.4,1.5,1.1,0.5,0.2,0.5,1.4,5.9
458,Max Strus,SF,27,CLE,51,51,32.4,4.5,10.9,0.408,2.4,7.2,0.338,2,3.7,0.545,0.52,1,1.3,0.781,0.8,4.2,5,3.7,0.9,0.5,1.5,2.5,12.3
459,Jalen Suggs,SG,22,ORL,49,49,26.8,4.4,9.8,0.447,2,5.2,0.387,2.3,4.6,0.516,0.55,1.5,2,0.76,0.7,2.6,3.2,2.4,1.4,0.6,1.9,2.8,12.2
460,Cole Swider,SF,24,MIA,9,0,4.9,1,2.3,0.429,0.6,1.7,0.333,0.4,0.7,0.667,0.548,0,0,0,0.1,0.1,0.2,0.3,0.1,0.1,0.3,0.2,2.6
461,Jae'Sean Tate,SF,28,HOU,49,9,17.6,1.8,3.8,0.478,0.4,1.4,0.299,1.4,2.4,0.581,0.533,0.4,0.6,0.714,1,2.3,3.3,1.1,0.7,0.2,0.4,2.4,4.4
462,Jayson Tatum,PF,25,BOS,50,50,35.9,9.2,19.4,0.474,3,8.4,0.362,6.2,11,0.56,0.553,5.6,6.8,0.82,0.9,7.6,8.5,4.7,1,0.6,2.5,2,27
463,Terry Taylor,PF,24,CHI,18,0,7.3,0.8,1.6,0.536,0.1,0.4,0.143,0.8,1.2,0.667,0.554,0.1,0.1,1,0.8,0.7,1.5,0.3,0.2,0.1,0.4,0.7,1.8
464,Garrett Temple,SG,37,TOR,16,0,4.3,0.5,1.3,0.381,0.1,0.6,0.222,0.4,0.8,0.5,0.429,0.3,0.4,0.833,0.3,0.4,0.7,0.4,0.2,0,0.3,0.4,1.4
465,Dalen Terry,SG,21,CHI,33,1,9.8,0.8,2.2,0.375,0.3,1.2,0.22,0.5,0.9,0.581,0.438,0.5,0.7,0.727,0.3,1.3,1.6,1.2,0.3,0.2,0.5,1.3,2.4
466,Daniel Theis,C,31,TOT,39,1,17.1,2.6,4.8,0.534,0.4,1,0.41,2.2,3.8,0.567,0.577,0.8,1.1,0.721,1.5,2.2,3.7,1,0.5,0.9,0.7,2.4,6.4
466,Daniel Theis,C,31,IND,1,0,8,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,0,0,0,0,0,0,0,0,1,2
466,Daniel Theis,C,31,LAC,38,1,17.3,2.6,4.9,0.541,0.4,1,0.421,2.2,3.9,0.571,0.584,0.8,1.1,0.721,1.5,2.2,3.8,1.1,0.5,0.9,0.7,2.4,6.5
467,Cam Thomas,SG,22,BRK,43,28,29.7,7.7,17.4,0.441,2,5.5,0.361,5.7,11.9,0.479,0.499,4,4.8,0.836,0.3,2.5,2.9,2.6,0.7,0.3,1.8,2,21.4
468,Amen Thompson,SF,21,HOU,33,4,18.2,2.8,5.7,0.503,0.2,1.2,0.158,2.7,4.5,0.591,0.519,1.3,2,0.667,1.4,3.7,5.1,2.4,1,0.4,1.5,2.2,7.2
469,Ausar Thompson,SF,21,DET,52,27,23.8,3.5,7.3,0.476,0.2,1.6,0.146,3.3,5.7,0.567,0.492,1.2,1.8,0.638,2.2,4.4,6.6,1.9,1,0.9,1.3,2.8,8.3
470,Klay Thompson,SF,33,GSW,47,47,30.6,5.9,14.4,0.413,3.2,8.7,0.373,2.7,5.7,0.476,0.526,1.8,1.9,0.912,0.5,2.9,3.4,2.3,0.6,0.6,1.6,1.9,16.9
471,Tristan Thompson,PF,32,CLE,36,0,12.4,1.7,2.6,0.649,0,0,0,1.7,2.6,0.656,0.649,0.4,1.2,0.31,1.6,2.3,3.9,1.1,0.2,0.3,0.6,1.4,3.8
472,JT Thor,PF,21,CHO,42,1,13.7,1.2,3.3,0.367,0.5,1.4,0.317,0.8,1.9,0.405,0.435,0.2,0.3,0.538,0.9,1.7,2.6,0.4,0.2,0.4,0.3,1,3
473,Matisse Thybulle,SF,26,POR,50,18,23.3,1.9,4.8,0.402,1.3,3.8,0.351,0.6,1.1,0.585,0.539,0.3,0.4,0.8,0.4,1.5,1.9,1.3,1.6,0.8,0.5,1.4,5.5
474,Xavier Tillman Sr.,C,25,MEM,34,13,20.6,2.6,6.3,0.408,0.4,1.6,0.226,2.2,4.7,0.469,0.437,0.5,1.3,0.419,1.6,3,4.6,1.7,1.2,1,0.9,1.8,6
475,Jacob Toppin,SF,23,NYK,4,0,3.8,0.3,0.5,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,0,0.3,0.3,0.5,0.5,0,0.3,0,0,0.5
476,Obi Toppin,PF,25,IND,54,28,22.5,4.2,7.4,0.568,1.2,3.1,0.401,3,4.3,0.687,0.651,1,1.4,0.753,1.1,2.8,3.9,1.6,0.5,0.5,0.9,1.9,10.7
477,Juan Toscano-Anderson,SF,30,SAC,11,0,4.8,0.3,1.1,0.25,0.1,0.4,0.25,0.2,0.7,0.25,0.292,0,0,0,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1,0.6
478,Karl-Anthony Towns,PF,28,MIN,51,51,33.2,8.1,15.7,0.516,2.3,5.2,0.442,5.8,10.5,0.552,0.589,4.1,4.7,0.871,1.4,7.1,8.5,3,0.7,0.6,2.9,3.3,22.6
479,Gary Trent Jr.,SG,25,TOR,48,18,26.3,4.3,10.3,0.419,2.4,5.8,0.419,1.9,4.5,0.419,0.537,0.6,0.9,0.667,0.3,1.9,2.2,1.5,1,0.1,0.7,1.2,11.7
480,Oscar Tshiebwe,PF,24,IND,6,0,5.7,1.3,2.7,0.5,0,0,0,1.3,2.7,0.5,0.5,0.8,1,0.833,1,1,2,0.3,0.3,0,0,0.2,3.5
481,P.J. Tucker,PF,38,TOT,15,3,15.9,0.4,1.3,0.316,0.3,1.1,0.313,0.1,0.2,0.333,0.447,0.2,0.2,1,1.1,1.8,2.9,0.5,0.6,0.2,0.3,2.3,1.3
481,P.J. Tucker,PF,38,PHI,3,3,22,0.7,1.7,0.4,0.7,1.7,0.4,0,0,0,0.6,0,0,0,0.3,4.3,4.7,0,1,0.7,0.7,3,2
481,P.J. Tucker,PF,38,LAC,12,0,14.4,0.3,1.2,0.286,0.3,0.9,0.273,0.1,0.3,0.333,0.393,0.3,0.3,1,1.3,1.2,2.4,0.7,0.5,0.1,0.2,2.2,1.2
482,Myles Turner,C,27,IND,51,51,27.3,6.2,11.9,0.522,1.4,4,0.34,4.8,7.9,0.616,0.58,3.3,4.2,0.778,1.6,5.4,6.9,1.4,0.5,1.7,1.5,3.3,17.1
483,Hunter Tyson,PF,23,DEN,9,0,3,0.1,0.8,0.143,0,0.7,0,0.1,0.1,1,0.143,0,0,0,0,0.7,0.7,0.1,0,0,0.2,0.7,0.2
484,Stanley Umude,SG,24,DET,17,0,11.2,1.5,3.1,0.481,1,1.8,0.548,0.5,1.2,0.381,0.644,1.3,1.4,0.917,0.2,1.6,1.8,0.5,0.2,0.3,0.6,1.6,5.2
485,Jonas Valan?i?nas,C,31,NOP,53,53,25.8,5.5,9.6,0.573,0.6,1.6,0.345,4.9,8,0.619,0.602,2.4,2.9,0.801,2.6,6.9,9.5,2.3,0.5,1,1.4,3,13.9
486,Jarred Vanderbilt,PF,24,LAL,29,6,20,2,3.9,0.518,0.3,0.9,0.296,1.8,3,0.586,0.553,0.8,1.2,0.667,1.4,3.3,4.8,1.2,1.2,0.2,1,1.5,5.2
487,Fred VanVleet,PG,29,HOU,47,47,36.7,5.5,13.5,0.409,2.9,7.7,0.374,2.6,5.8,0.456,0.516,2.6,3,0.859,0.4,3.4,3.7,8.2,1.1,1,1.6,2.2,16.5
488,Devin Vassell,SG,23,SAS,48,42,31.8,7,14.9,0.467,2.5,6.8,0.363,4.5,8.1,0.554,0.55,2.5,3.1,0.807,0.4,3.3,3.7,3.6,1,0.3,1.4,1,18.9
489,Sasha Vezenkov,PF,28,SAC,35,0,12.6,2.1,4.7,0.448,1.1,2.9,0.38,1,1.9,0.554,0.564,0.3,0.4,0.769,0.9,1.6,2.5,0.4,0.5,0.2,0.3,1,5.6
490,Gabe Vincent,PG,27,LAL,5,0,25.4,2.4,6.4,0.375,0.4,3.4,0.118,2,3,0.667,0.406,0.2,0.4,0.5,0.4,0.6,1,3,1.2,0,0.4,2.4,5.4
491,Nikola Vu?evi?,C,33,CHI,48,46,34.4,7.5,15.8,0.476,1.1,4.2,0.275,6.4,11.6,0.548,0.512,1.4,1.6,0.867,2.7,7.9,10.6,3.5,0.7,0.9,1.5,2.5,17.5
492,Dean Wade,PF,27,CLE,44,30,21.1,1.8,4.5,0.411,1.5,3.9,0.398,0.3,0.6,0.5,0.584,0.3,0.4,0.789,0.8,3.5,4.3,0.8,0.8,0.4,0.4,1.9,5.6
493,Franz Wagner,SF,22,ORL,45,45,33.3,7.9,16.4,0.479,1.7,5.2,0.322,6.2,11.2,0.551,0.53,3.8,4.5,0.851,1.1,4.5,5.6,4.1,1.1,0.4,2,2.3,21.2
494,Moritz Wagner,C,26,ORL,51,1,18.5,4.2,7.2,0.585,0.5,1.5,0.329,3.7,5.7,0.655,0.621,2.2,2.7,0.793,1.5,2.9,4.5,1.2,0.5,0.3,1.2,2.2,11.2
495,Ish Wainright,SF,29,POR,7,0,6.6,0.9,2.6,0.333,0.9,2.3,0.375,0,0.3,0,0.5,0.3,0.3,1,0,1.3,1.3,0,0.3,0.1,0.1,0.6,2.9
496,Jabari Walker,SF,21,POR,48,14,22.2,3.1,6.5,0.47,0.6,2,0.278,2.5,4.5,0.556,0.513,1.8,2.3,0.75,1.9,4.5,6.4,0.8,0.6,0.4,1,2.3,8.4
497,Jarace Walker,PF,20,IND,17,0,10.2,1.6,3.9,0.424,0.7,1.9,0.375,0.9,2,0.471,0.515,0.4,0.4,0.857,0.5,1.2,1.7,1.2,0.5,0.4,0.6,1,4.4
498,Lonnie Walker IV,SG,25,BRK,32,0,18.4,4.3,9,0.474,2.1,4.9,0.433,2.1,4.1,0.523,0.592,1,1.3,0.767,0.3,1.8,2,1.5,0.7,0.3,1.1,1.2,11.7
499,Cason Wallace,SG,20,OKC,53,9,20.8,2.6,5.2,0.502,1.2,2.8,0.409,1.5,2.4,0.611,0.613,0.4,0.5,0.846,0.6,1.6,2.2,1.3,0.7,0.4,0.5,1.7,6.8
500,Jordan Walsh,SF,19,BOS,3,0,5,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,0,0.3,1.7,2,0.7,0.3,0,0,0.7,0.7
501,P.J. Washington,PF,25,TOT,45,17,29.1,5.2,11.5,0.449,1.8,5.5,0.323,3.4,6,0.565,0.526,1.5,2.1,0.708,1.2,4.1,5.3,2.2,0.9,0.7,1.5,2.6,13.6
501,P.J. Washington,PF,25,CHO,44,17,29.2,5.2,11.6,0.446,1.8,5.5,0.324,3.4,6,0.558,0.524,1.5,2.1,0.713,1.2,4.1,5.3,2.2,0.9,0.7,1.5,2.5,13.6
501,P.J. Washington,PF,25,DAL,1,0,24,6,10,0.6,1,4,0.25,5,6,0.833,0.65,1,2,0.5,1,4,5,1,1,0,2,3,14
502,TyTy Washington Jr.,PG,22,MIL,3,0,4.3,0.3,1.7,0.2,0.3,1,0.333,0,0.7,0,0.3,0,0,0,0,0.3,0.3,0.3,0.3,0,0.7,0,1
503,Yuta Watanabe,SF,29,PHO,29,0,13.2,1.2,3.3,0.361,0.8,2.6,0.32,0.4,0.8,0.5,0.485,0.3,0.5,0.667,0.4,1.2,1.6,0.3,0.3,0.2,0.6,1.2,3.6
504,Lindy Waters III,SG,26,OKC,22,0,7.6,1,2.4,0.442,1,2.2,0.438,0.1,0.2,0.5,0.644,0,0,0,0,1,1,0.5,0,0.2,0.2,0.8,3
505,Trendon Watford,PF,23,BRK,37,0,11.7,2.3,4.3,0.535,0.3,0.9,0.344,2,3.4,0.583,0.569,0.8,1,0.861,0.9,1.8,2.7,1.5,0.4,0.2,0.7,1.5,5.7
506,Peyton Watson,SF,21,DEN,51,4,18.3,2.7,5.6,0.479,0.7,2.1,0.336,2,3.5,0.565,0.542,0.9,1.4,0.696,0.6,2.2,2.9,1,0.6,0.9,0.7,1.8,7
507,Victor Wembanyama,C,20,SAS,47,47,28.4,7.4,16.1,0.464,1.6,4.9,0.316,5.9,11.1,0.529,0.512,3.8,4.7,0.811,2.1,7.9,10,3.1,1.1,3,3.4,2.2,20.3
508,Blake Wesley,SG,20,SAS,32,1,12.3,1.6,3.1,0.515,0.1,0.7,0.136,1.5,2.4,0.623,0.53,0.5,1,0.531,0.3,0.9,1.1,2.6,0.6,0.1,0.6,1.6,3.8
509,Russell Westbrook,PG,35,LAC,51,10,22.9,4.6,9.8,0.468,0.7,2.4,0.292,3.9,7.4,0.524,0.503,1.5,2.3,0.658,1.5,4,5.5,4.6,1.1,0.4,2.1,1.8,11.3
510,Coby White,PG,23,CHI,53,53,36.3,6.9,15,0.459,2.8,7.2,0.395,4.1,7.8,0.518,0.554,2.7,3.2,0.826,0.5,4.2,4.7,5.2,0.7,0.2,2.2,2.3,19.3
511,Derrick White,SG,29,BOS,49,49,32.2,5.3,11.6,0.456,2.6,6.7,0.391,2.7,5,0.543,0.568,2.1,2.4,0.888,0.7,3.2,3.9,4.8,1,1.2,1.6,2.2,15.3
512,Cam Whitmore,SF,19,HOU,28,1,17,4.4,9.1,0.478,1.7,4.3,0.403,2.6,4.9,0.544,0.573,1.5,2.2,0.677,0.7,3,3.6,0.5,0.6,0.2,0.8,1.4,11.9
513,Aaron Wiggins,SG,25,OKC,50,0,14.3,2.4,4.1,0.585,0.8,1.5,0.519,1.6,2.6,0.623,0.681,0.5,0.7,0.75,0.7,1.7,2.4,1,0.5,0.1,0.5,1.2,6.2
514,Andrew Wiggins,SF,28,GSW,45,34,27,4.8,10.7,0.443,1,3.2,0.317,3.8,7.6,0.496,0.49,1.8,2.6,0.709,1.6,2.7,4.3,1.6,0.5,0.5,1.2,2.3,12.4
515,Lindell Wigginton,PG,25,MIL,3,0,2.7,0.7,1.7,0.4,0,0.7,0,0.7,1,0.667,0.4,0.7,0.7,1,0,0,0,0,0,0,0.3,0.3,2
516,Brandon Williams,PG,24,DAL,10,0,5.4,0.8,2,0.4,0.2,0.6,0.333,0.6,1.4,0.429,0.45,0.6,1.1,0.545,0.3,0.4,0.7,1.2,0.1,0.1,0.3,0.1,2.4
517,Grant Williams,PF,25,TOT,48,33,26.5,2.8,6.8,0.415,1.7,4.5,0.38,1.1,2.3,0.482,0.54,0.9,1.2,0.754,1,2.7,3.7,1.7,0.5,0.6,1.1,2.9,8.3
517,Grant Williams,PF,25,DAL,47,33,26.4,2.8,6.7,0.413,1.7,4.5,0.376,1.1,2.3,0.486,0.538,0.9,1.2,0.745,1,2.6,3.6,1.7,0.5,0.6,1.1,2.9,8.1
517,Grant Williams,PF,25,CHO,1,0,32,5,11,0.455,3,6,0.5,2,5,0.4,0.591,2,2,1,0,8,8,1,0,0,2,0,15
518,Jalen Williams,PF,22,OKC,47,47,32,7.4,13.7,0.54,1.5,3.3,0.451,5.9,10.4,0.568,0.594,2.6,3.2,0.809,0.6,3.6,4.1,4.6,1,0.5,1.7,2.6,18.9
519,Jaylin Williams,C,21,OKC,45,0,12.3,1.2,3.2,0.377,0.7,2,0.337,0.5,1.2,0.444,0.483,0.5,0.6,0.84,0.5,2.6,3.2,1.3,0.4,0.4,0.4,1.4,3.6
520,Jeenathan Williams,SG,24,HOU,8,0,7.9,1.8,3.6,0.483,0.1,0.4,0.333,1.6,3.3,0.5,0.5,0.5,0.9,0.571,0.9,0.1,1,0.4,0.3,0,0.1,1,4.1
521,Kenrich Williams,PF,29,OKC,42,1,15,1.8,3.9,0.46,0.8,2,0.4,1,1.9,0.526,0.564,0.1,0.2,0.3,0.8,2,2.8,1.3,0.6,0.1,0.4,1.5,4.5
522,Mark Williams,C,22,CHO,19,19,26.7,5.2,7.9,0.649,0,0,0,5.2,7.9,0.649,0.649,2.4,3.4,0.719,4,5.7,9.7,1.2,0.8,1.1,0.9,2.6,12.7
523,Patrick Williams,PF,22,CHI,43,30,27.3,3.7,8.3,0.443,1.4,3.4,0.399,2.3,4.9,0.474,0.525,1.2,1.5,0.788,1.1,2.8,3.9,1.5,0.9,0.8,1.3,2,10
524,Robert Williams,C,26,POR,6,0,19.8,2.8,4.3,0.654,0,0,0,2.8,4.3,0.654,0.654,1.2,1.5,0.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8
525,Vince Williams Jr.,SG,23,MEM,41,22,26,3,6.8,0.441,1.6,4.1,0.382,1.4,2.7,0.532,0.557,1.7,2.2,0.798,1.2,4.2,5.5,2.6,0.8,0.6,1.3,2.5,9.3
526,Ziaire Williams,SF,22,MEM,44,9,18.8,2.7,7,0.39,1.1,3.5,0.314,1.6,3.5,0.467,0.469,1.1,1.3,0.831,0.7,2.7,3.4,1.5,0.6,0.2,1.3,1.7,7.7
527,Zion Williamson,PF,23,NOP,42,42,30.4,8.8,14.9,0.587,0.1,0.3,0.364,8.7,14.7,0.591,0.59,4.7,6.9,0.681,1.7,3.8,5.5,4.8,1,0.5,2.5,2.4,22.3
528,Jalen Wilson,PF,23,BRK,14,1,13.7,1.8,3.6,0.49,0.6,1.2,0.471,1.2,2.4,0.5,0.569,1.2,1.4,0.895,1.3,1.4,2.6,1.1,0.4,0.1,0.3,1.1,5.4
529,Dylan Windler,SF,27,TOT,7,0,2.7,0.6,1,0.571,0.6,0.9,0.667,0,0.1,0,0.857,0,0,0,0,0.4,0.4,0.6,0,0,0,0.3,1.7
529,Dylan Windler,SF,27,NYK,3,0,2.3,0.3,0.7,0.5,0.3,0.7,0.5,0,0,0,0.75,0,0,0,0,0.3,0.3,0.3,0,0,0,0.3,1
529,Dylan Windler,SF,27,LAL,4,0,3,0.8,1.3,0.6,0.8,1,0.75,0,0.3,0,0.9,0,0,0,0,0.5,0.5,0.8,0,0,0,0.3,2.3
530,James Wiseman,C,22,DET,33,0,13.9,2.5,3.7,0.675,0,0.1,0,2.5,3.7,0.686,0.675,0.7,1.1,0.622,1.4,2.5,3.9,0.6,0.1,0.6,0.8,1.9,5.7
531,Christian Wood,PF,28,LAL,48,1,17.5,2.5,5.3,0.468,0.7,2.3,0.315,1.8,3,0.583,0.536,1.3,1.9,0.696,0.8,4.3,5.1,1,0.3,0.7,1,1.4,7
532,Delon Wright,PG,31,WAS,31,0,14.5,1.5,3.8,0.395,0.5,1.2,0.378,1.1,2.6,0.402,0.454,0.8,0.9,0.828,0.4,1.5,1.9,2.6,1.1,0.3,0.3,0.7,4.3
533,Thaddeus Young,PF,35,TOR,23,6,15.2,2.3,3.8,0.621,0,0.3,0.167,2.3,3.5,0.654,0.626,0.2,0.5,0.417,1.3,2,3.3,2.2,0.8,0.1,0.5,1.7,5
534,Trae Young,PG,25,ATL,48,48,36.6,8.5,19.6,0.432,3.4,9,0.377,5.1,10.6,0.477,0.518,6.8,7.9,0.855,0.4,2.3,2.8,10.8,1.5,0.2,4.4,2,27.1
535,Omer Yurtseven,C,25,UTA,28,6,9.5,1.4,2.9,0.481,0.1,0.5,0.2,1.3,2.4,0.545,0.5,0.2,0.4,0.545,1.3,2.5,3.8,0.5,0.1,0.4,0.9,1.3,3.1
536,Cody Zeller,C,31,NOP,36,0,8,0.6,1.5,0.396,0,0.1,0.333,0.6,1.4,0.4,0.406,0.6,1,0.6,1.1,1.6,2.6,0.9,0.2,0.1,0.4,1.1,1.8
537,Ivica Zubac,C,26,LAC,41,41,26.6,5.1,7.8,0.658,0,0,0,5.1,7.8,0.658,0.658,1.8,2.7,0.655,3.1,6.3,9.4,1.2,0.2,1.3,1.1,2.7,12
